2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
1635-T,ダイワエネ,東証,その他,11920,11920,11920,11920,1,11920
1636-T,ダイワ建設,東証,その他,16410,16410,16100,16100,37,598160
1637-T,ダイワ素材,東証,その他,14310,14310,14110,14110,3,42730
1638-T,ダイワ医薬,東証,その他,14280,14280,14100,14100,15,212970
1639-T,ダイワ自動,東証,その他,20620,20620,20270,20520,73,1493940
1640-T,ダイワ鉄鋼,東証,その他,20880,20890,20840,20890,3,62610
1641-T,ダイワ機械,東証,その他,26370,26370,26070,26070,4,105030
1642-T,ダイワ電機,東証,その他,11050,11050,10890,10910,9,99040
1643-T,ダイワ情報,東証,その他,12710,12710,12520,12570,3,37800
1644-T,ダイワ電力,東証,その他,8290,8290,8100,8100,35,287910
1645-T,ダイワ運輸,東証,その他,13220,13220,13220,13220,1,13220
1646-T,ダイワ商社,東証,その他,24600,24600,24100,24100,25,604560
1647-T,ダイワ小売,東証,その他,-,-,-,-,0,0
1648-T,ダイワ銀行,東証,その他,12160,12170,12100,12100,25,304000
1649-T,ダイワ金融,東証,その他,11510,11510,11390,11390,4,45920
1650-T,ダイワ不動,東証,その他,34700,35000,34100,34100,73,2538450
1661-T,ガス開,東証1部,鉱業,791,794,766,781,132000,102890000
1662-T,石油資源,東証1部,鉱業,4555,4570,4430,4520,245400,1105097000
1670-T,MXS三菱,東証,その他,124,124,122,123,12500,1541000
1671-T,WTI原油,東証,その他,6600,6640,6560,6610,9390,62006970
1672-T,金ETF,東証,その他,-,-,-,-,0,0
1673-T,銀ETF,東証,その他,1970,1970,1969,1969,170,334750
1674-T,プラチナETF,東証,その他,13710,13710,13710,13710,8,109680
1675-T,パラジETF,東証,その他,-,-,-,-,0,0
1676-T,キンゾクETF,東証,その他,-,-,-,-,0,0
1677-T,上場外債,東証,その他,50000,50300,50000,50000,120,6005000
1678-T,インドNIF,東証,その他,93,95,93,94,90400,8504800
